Date,Salinity,Station
7/5/2017 1:45,1.12,Mid
7/5/2017 2:00,1.12,Mid
7/5/2017 2:15,1.12,Mid
7/5/2017 2:30,1.12,Mid
7/5/2017 2:45,1.12,Mid
7/5/2017 3:00,1.12,Mid
7/5/2017 3:15,1.12,Mid
7/5/2017 3:30,1.12,Mid
7/5/2017 3:45,1.12,Mid
7/5/2017 4:00,1.11,Mid
7/5/2017 4:15,1.11,Mid
7/5/2017 4:30,1.11,Mid
7/5/2017 4:45,1.12,Mid
7/5/2017 5:00,1.11,Mid
7/5/2017 5:15,1.1,Mid
7/5/2017 5:30,1.11,Mid
7/5/2017 5:45,1.11,Mid
7/5/2017 6:00,1.1,Mid
7/5/2017 6:15,1.11,Mid
7/5/2017 6:30,1.1,Mid
7/5/2017 6:45,1.1,Mid
7/5/2017 7:00,1.11,Mid
7/5/2017 7:15,1.1,Mid
7/5/2017 7:30,1.1,Mid
7/5/2017 7:45,1.1,Mid
7/5/2017 8:00,1.1,Mid
7/5/2017 8:15,1.09,Mid
7/5/2017 8:30,1.09,Mid
7/5/2017 8:45,1.09,Mid
7/5/2017 9:00,1.09,Mid
7/5/2017 9:15,1.09,Mid
7/5/2017 9:30,1.09,Mid
7/5/2017 9:45,1.09,Mid
7/5/2017 10:00,1.09,Mid
7/5/2017 10:15,1.09,Mid
7/5/2017 10:30,1.09,Mid
7/5/2017 10:45,1.09,Mid
7/5/2017 11:00,1.09,Mid
7/5/2017 11:15,1.1,Mid
7/5/2017 11:30,1.09,Mid
7/5/2017 11:45,1.09,Mid
7/5/2017 12:00,1.09,Mid
7/5/2017 12:15,1.1,Mid
7/5/2017 12:30,1.1,Mid
7/5/2017 12:45,1.1,Mid
7/5/2017 13:00,1.11,Mid
7/5/2017 13:15,1.1,Mid
7/5/2017 13:30,1.1,Mid
7/5/2017 13:45,1.1,Mid
7/5/2017 14:00,1.1,Mid
7/5/2017 14:15,1.09,Mid
7/5/2017 14:30,1.1,Mid
7/5/2017 14:45,1.11,Mid
7/5/2017 15:00,1.11,Mid
7/5/2017 15:15,1.11,Mid
7/5/2017 15:30,1.12,Mid
7/5/2017 15:45,1.11,Mid
7/5/2017 16:00,1.12,Mid
7/5/2017 16:15,1.11,Mid
7/5/2017 16:30,1.11,Mid
7/5/2017 16:45,1.11,Mid
7/5/2017 17:00,1.12,Mid
7/5/2017 17:15,1.11,Mid
7/5/2017 17:30,1.1,Mid
7/5/2017 17:45,1.1,Mid
7/5/2017 18:00,1.11,Mid
7/5/2017 18:15,1.1,Mid
7/5/2017 18:30,1.1,Mid
7/5/2017 18:45,1.09,Mid
7/5/2017 19:00,1.09,Mid
7/5/2017 19:15,1.1,Mid
7/5/2017 19:30,1.1,Mid
7/5/2017 19:45,1.1,Mid
7/5/2017 20:00,1.1,Mid
7/5/2017 20:15,1.11,Mid
7/5/2017 20:30,1.11,Mid
7/5/2017 20:45,1.1,Mid
7/5/2017 21:00,1.11,Mid
7/5/2017 21:15,1.11,Mid
7/5/2017 21:30,1.1,Mid
7/5/2017 21:45,1.1,Mid
7/5/2017 22:00,1.11,Mid
7/5/2017 22:15,1.11,Mid
7/5/2017 22:30,1.11,Mid
7/5/2017 22:45,1.11,Mid
7/5/2017 23:00,1.11,Mid
7/5/2017 23:15,1.1,Mid
7/5/2017 23:30,1.11,Mid
7/5/2017 23:45,1.1,Mid
7/6/2017 0:00,1.1,Mid
7/6/2017 0:15,1.1,Mid
7/6/2017 0:30,1.1,Mid
7/6/2017 0:45,1.1,Mid
7/6/2017 1:00,1.1,Mid
7/6/2017 1:15,1.1,Mid
7/6/2017 1:30,1.09,Mid
7/6/2017 1:45,1.1,Mid
7/6/2017 2:00,1.1,Mid
7/6/2017 2:15,1.1,Mid
7/6/2017 2:30,1.1,Mid
7/6/2017 2:45,1.1,Mid
7/6/2017 3:00,1.1,Mid
7/6/2017 3:15,1.09,Mid
7/6/2017 3:30,1.09,Mid
7/6/2017 3:45,1.09,Mid
7/6/2017 4:00,1.1,Mid
7/6/2017 4:15,1.1,Mid
7/6/2017 4:30,1.11,Mid
7/6/2017 4:45,1.1,Mid
7/6/2017 5:00,1.12,Mid
7/6/2017 5:15,1.11,Mid
7/6/2017 5:30,1.11,Mid
7/6/2017 5:45,1.12,Mid
7/6/2017 6:00,1.12,Mid
7/6/2017 6:15,1.13,Mid
7/6/2017 6:30,1.12,Mid
7/6/2017 6:45,1.13,Mid
7/6/2017 7:00,1.12,Mid
7/6/2017 7:15,1.13,Mid
7/6/2017 7:30,1.12,Mid
7/6/2017 7:45,1.12,Mid
7/6/2017 8:00,1.11,Mid
7/6/2017 8:15,1.1,Mid
7/6/2017 8:30,1.1,Mid
7/6/2017 8:45,1.09,Mid
7/6/2017 9:00,1.08,Mid
7/6/2017 9:15,1.08,Mid
7/6/2017 9:30,1.06,Mid
7/6/2017 9:45,1.06,Mid
7/6/2017 10:00,1.05,Mid
7/6/2017 10:15,1.04,Mid
7/6/2017 10:30,1.04,Mid
7/6/2017 10:45,1.03,Mid
7/6/2017 11:00,1.02,Mid
7/6/2017 11:15,1.02,Mid
7/6/2017 11:30,1.01,Mid
7/6/2017 11:45,1,Mid
7/6/2017 12:00,1,Mid
7/6/2017 12:15,0.99,Mid
7/6/2017 12:30,1,Mid
7/6/2017 12:45,0.98,Mid
7/6/2017 13:00,0.97,Mid
7/6/2017 13:15,0.94,Mid
7/6/2017 13:30,0.92,Mid
7/6/2017 13:45,0.9,Mid
7/6/2017 14:00,0.9,Mid
7/6/2017 14:15,0.89,Mid
7/6/2017 14:30,0.9,Mid
7/6/2017 14:45,0.89,Mid
7/6/2017 15:00,0.88,Mid
7/6/2017 15:15,0.88,Mid
7/6/2017 15:30,0.88,Mid
7/6/2017 15:45,0.86,Mid
7/6/2017 16:00,0.86,Mid
7/6/2017 16:15,0.87,Mid
7/6/2017 16:30,0.87,Mid
7/6/2017 16:45,0.86,Mid
7/6/2017 17:00,0.86,Mid
7/6/2017 17:15,0.84,Mid
7/6/2017 17:30,0.85,Mid
7/6/2017 17:45,0.84,Mid
7/6/2017 18:00,0.84,Mid
7/6/2017 18:15,0.84,Mid
7/6/2017 18:30,0.85,Mid
7/6/2017 18:45,0.85,Mid
7/6/2017 19:00,0.86,Mid
7/6/2017 19:15,0.86,Mid
7/6/2017 19:30,0.85,Mid
7/6/2017 19:45,0.84,Mid
7/6/2017 20:00,0.84,Mid
7/6/2017 20:15,0.84,Mid
7/6/2017 20:30,0.85,Mid
7/6/2017 20:45,0.85,Mid
7/6/2017 21:00,0.85,Mid
7/6/2017 21:15,0.86,Mid
7/6/2017 21:30,0.85,Mid
7/6/2017 21:45,0.85,Mid
7/6/2017 22:00,0.85,Mid
7/6/2017 22:15,0.85,Mid
7/6/2017 22:30,0.85,Mid
7/6/2017 22:45,0.85,Mid
7/6/2017 23:00,0.85,Mid
