,,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System
6/1/2017,10:00,23.97,1.677,0.85,1.467,7.71,92,13.92
6/1/2017,10:15,24.09,1.678,0.85,1.469,7.28,87,13.91
6/1/2017,10:30,24.31,1.677,0.85,1.472,7.79,93.5,13.92
6/1/2017,10:45,24.54,1.678,0.85,1.476,7.75,93.4,13.93
6/1/2017,11:00,24.82,1.676,0.84,1.476,7.8,94.5,13.92
6/1/2017,11:15,24.88,1.678,0.85,1.473,8.01,97.2,13.93
6/1/2017,11:30,25.03,1.677,0.84,1.478,7.65,93.1,13.92
6/1/2017,11:45,25.09,1.677,0.84,1.479,7.36,89.7,13.93
6/1/2017,12:00,25.18,1.677,0.84,1.479,7.54,91.9,13.91
6/1/2017,12:15,25.72,1.672,0.84,1.485,8.38,103.3,13.92
6/1/2017,12:30,25.54,1.667,0.84,1.487,8.9,109.3,13.91
6/1/2017,12:45,26.34,1.665,0.84,1.488,8.91,111.1,13.92
6/1/2017,13:00,26.85,1.661,0.83,1.489,8.99,113,13.92
6/1/2017,13:15,27.37,1.671,0.84,1.494,8.76,111.2,13.91
6/1/2017,13:30,27.7,1.668,0.84,1.497,8.53,108.9,13.88
6/1/2017,13:45,27.81,1.673,0.84,1.495,8.41,107.6,13.86
6/1/2017,14:00,27.56,1.673,0.84,1.489,9.02,114.9,13.85
6/1/2017,14:15,27.16,1.672,0.84,1.494,9.51,120.2,13.84
6/1/2017,14:30,26.97,1.673,0.84,1.493,9.34,117.7,13.82
6/1/2017,14:45,27.04,1.675,0.84,1.492,9.47,119.5,13.82
6/1/2017,15:00,27.23,1.678,0.84,1.492,9.52,120.5,13.8
6/1/2017,15:15,27.35,1.678,0.84,1.489,9.49,120.4,13.8
6/1/2017,15:30,27.38,1.678,0.84,1.492,9.61,122,13.8
6/1/2017,15:45,27.67,1.681,0.84,1.493,9.56,122,13.8
6/1/2017,16:00,27.92,1.683,0.84,1.494,9.46,121.2,13.8
6/1/2017,16:15,28.3,1.684,0.84,1.495,9.24,119.3,13.78
6/1/2017,16:30,28.36,1.687,0.85,1.499,9.22,119,13.56
6/1/2017,16:45,28.37,1.685,0.85,1.499,9.43,121.8,13.75
6/1/2017,17:00,28.47,1.685,0.84,1.502,9.2,119,13.48
6/1/2017,17:15,28.56,1.687,0.85,1.5,9.05,117.3,13.4
6/1/2017,17:30,28.63,1.688,0.85,1.501,9.03,117.2,13.4
6/1/2017,17:45,28.52,1.689,0.85,1.502,8.74,113.2,13.37
6/1/2017,18:00,28.39,1.689,0.85,1.503,8.5,109.9,13.36
6/1/2017,18:15,28.32,1.69,0.85,1.502,8.1,104.6,13.36
6/1/2017,18:30,28.26,1.691,0.85,1.505,8.04,103.7,13.3
6/1/2017,18:45,28.38,1.691,0.85,1.505,8.01,103.5,13.13
6/1/2017,19:00,28.37,1.691,0.85,1.501,8.01,103.4,12.97
6/1/2017,19:15,28.32,1.691,0.85,1.501,8.09,104.4,12.74
6/1/2017,19:30,28.24,1.691,0.85,1.5,8.2,105.7,12.49
6/1/2017,19:45,28.15,1.691,0.85,1.499,8.28,106.5,12.36
6/1/2017,20:00,28.09,1.691,0.85,1.498,8.14,104.6,12.36
6/1/2017,20:15,28.01,1.692,0.85,1.496,8.18,105,12.37
6/1/2017,20:30,27.9,1.691,0.85,1.496,8.13,104.2,12.37
6/1/2017,20:45,27.84,1.691,0.85,1.494,7.99,102.3,12.38
6/1/2017,21:00,27.77,1.692,0.85,1.494,7.86,100.5,12.38
6/1/2017,21:15,27.65,1.692,0.85,1.493,8.01,102.2,12.38
6/1/2017,21:30,27.53,1.692,0.85,1.492,7.73,98.4,12.38
6/1/2017,21:45,27.46,1.692,0.85,1.49,7.76,98.6,12.37
6/1/2017,22:00,27.39,1.692,0.85,1.489,7.67,97.4,12.37
6/1/2017,22:15,27.31,1.693,0.85,1.489,7.83,99.2,12.37
6/1/2017,22:30,27.24,1.692,0.85,1.487,7.57,95.9,12.37
6/1/2017,22:45,27.18,1.692,0.85,1.486,7.43,93.9,12.37
6/1/2017,23:00,27.04,1.692,0.85,1.485,7.6,95.9,12.37
6/1/2017,23:15,26.92,1.692,0.85,1.483,7.5,94.4,12.36
6/1/2017,23:30,26.82,1.692,0.85,1.482,7.38,92.7,12.36
6/1/2017,23:45,26.7,1.692,0.85,1.482,7.23,90.6,12.36
6/2/2017,0:00,26.61,1.691,0.85,1.48,7.28,91.2,12.35
6/2/2017,0:15,26.5,1.692,0.85,1.478,7.22,90.3,12.36
6/2/2017,0:30,26.42,1.691,0.85,1.478,7.28,90.8,12.35
6/2/2017,0:45,26.34,1.691,0.85,1.476,7.2,89.7,12.35
6/2/2017,1:00,26.22,1.691,0.85,1.475,7.21,89.6,12.35
6/2/2017,1:15,26.12,1.691,0.85,1.474,7.19,89.3,12.35
6/2/2017,1:30,26.04,1.691,0.85,1.473,7.14,88.5,12.31
6/2/2017,1:45,25.99,1.691,0.85,1.472,7.16,88.6,12.34
6/2/2017,2:00,25.99,1.691,0.85,1.472,7.15,88.6,12.31
6/2/2017,2:15,25.98,1.692,0.85,1.471,7.03,87,12.34
6/2/2017,2:30,26.02,1.692,0.85,1.471,6.87,85.1,12.32
6/2/2017,2:45,26.03,1.693,0.85,1.471,6.81,84.4,12.32
6/2/2017,3:00,25.99,1.693,0.85,1.471,6.73,83.3,12.31
6/2/2017,3:15,25.87,1.693,0.85,1.471,6.78,83.7,12.29
6/2/2017,3:30,25.77,1.693,0.85,1.47,6.79,83.8,12.23
6/2/2017,3:45,25.68,1.692,0.85,1.469,6.72,82.7,12.28
6/2/2017,4:00,25.58,1.691,0.85,1.469,6.72,82.5,12.3
6/2/2017,4:15,25.5,1.691,0.85,1.467,6.64,81.5,12.3
6/2/2017,4:30,25.42,1.69,0.85,1.467,6.58,80.6,12.29
6/2/2017,4:45,25.37,1.69,0.85,1.466,6.56,80.3,12.29
6/2/2017,5:00,25.29,1.69,0.85,1.464,6.45,78.9,12.34
6/2/2017,5:15,25.22,1.69,0.85,1.463,6.48,79.1,12.31
6/2/2017,5:30,25.16,1.69,0.85,1.463,6.4,78.1,12.49
6/2/2017,5:45,25.09,1.69,0.85,1.462,6.41,78.1,12.73
6/2/2017,6:00,25.04,1.69,0.85,1.461,6.44,78.4,13.03
6/2/2017,6:15,25,1.69,0.85,1.46,6.42,78.1,13.43
6/2/2017,6:30,24.97,1.69,0.85,1.459,6.29,76.4,14
6/2/2017,6:45,24.96,1.691,0.85,1.459,6.16,74.9,13.98
6/2/2017,7:00,25.01,1.691,0.85,1.458,6.05,73.6,13.96
6/2/2017,7:15,25.06,1.691,0.85,1.459,6.32,76.9,13.94
6/2/2017,7:30,25.13,1.692,0.85,1.46,6.38,77.8,13.92
6/2/2017,7:45,25.2,1.692,0.85,1.461,6.36,77.6,13.91
6/2/2017,8:00,25.27,1.693,0.85,1.462,6.38,78,13.91
6/2/2017,8:15,25.36,1.694,0.85,1.461,6.56,80.2,13.91
6/2/2017,8:30,25.44,1.694,0.85,1.46,6.44,78.9,13.9
6/2/2017,8:45,25.52,1.695,0.85,1.462,6.3,77.4,13.87
6/2/2017,9:00,25.61,1.695,0.85,1.462,6.7,82.4,13.87
6/2/2017,9:15,25.66,1.696,0.85,1.463,6.41,78.9,13.86
6/2/2017,9:30,25.71,1.696,0.85,1.46,6.28,77.3,13.86
6/2/2017,9:45,25.81,1.696,0.85,1.463,6.83,84.3,13.86
6/2/2017,10:00,25.95,1.697,0.85,1.465,6.89,85.3,13.86
6/2/2017,10:15,26.03,1.697,0.85,1.466,6.82,84.5,13.87
6/2/2017,10:30,26.28,1.697,0.85,1.468,6.73,83.8,13.88
6/2/2017,10:45,26.53,1.699,0.85,1.47,6.73,84.1,13.88
6/2/2017,11:00,26.83,1.699,0.85,1.472,6.71,84.4,13.9
6/2/2017,11:15,27.24,1.699,0.85,1.475,6.98,88.3,13.91
6/2/2017,11:30,27.44,1.699,0.85,1.474,7.32,93,13.9
6/2/2017,11:45,27.71,1.701,0.85,1.479,7.22,92.2,13.9
6/2/2017,12:00,27.62,1.702,0.86,1.478,7.11,90.6,13.9
6/2/2017,12:15,27.84,1.702,0.85,1.478,7.24,92.6,13.9
6/2/2017,12:30,28.12,1.703,0.85,1.48,7.49,96.3,13.88
6/2/2017,12:45,28.33,1.702,0.85,1.485,7.75,100.1,13.88
6/2/2017,13:00,28.68,1.701,0.85,1.482,7.78,101.1,13.88
6/2/2017,13:15,28.82,1.701,0.85,1.487,7.91,103,13.87
6/2/2017,13:30,28.95,1.701,0.85,1.484,7.99,104.3,13.86
6/2/2017,13:45,28.94,1.701,0.85,1.482,8.06,105.2,13.86
6/2/2017,14:00,29,1.701,0.85,1.479,8.17,106.7,13.84
6/2/2017,14:15,29.03,1.702,0.85,1.487,8.04,105.1,13.82
6/2/2017,14:30,29.06,1.702,0.85,1.483,7.82,102.3,13.82
6/2/2017,14:45,29.05,1.703,0.85,1.485,7.54,98.5,13.82
6/2/2017,15:00,29.01,1.702,0.85,1.49,7.62,99.6,13.82
6/2/2017,15:15,28.92,1.699,0.85,1.486,7.63,99.6,13.84
6/2/2017,15:30,28.86,1.696,0.85,1.481,7.67,100,13.84
6/2/2017,15:45,28.96,1.697,0.85,1.482,7.56,98.7,13.84
6/2/2017,16:00,28.99,1.697,0.85,1.482,7.54,98.5,13.84
6/2/2017,16:15,29.03,1.698,0.85,1.48,7.6,99.4,13.38
6/2/2017,16:30,29.09,1.699,0.85,1.478,7.69,100.6,13.32
6/2/2017,16:45,29.2,1.7,0.85,1.479,7.82,102.4,13.28
6/2/2017,17:00,29.3,1.701,0.85,1.482,7.92,104,13.27
6/2/2017,17:15,29.31,1.702,0.85,1.486,8.03,105.4,13.24
6/2/2017,17:30,29.3,1.703,0.85,1.484,8.01,105.1,13.21
6/2/2017,17:45,29.22,1.704,0.85,1.482,8.03,105.2,13.18
6/2/2017,18:00,29.11,1.704,0.85,1.482,7.91,103.5,13.13
6/2/2017,18:15,28.93,1.705,0.85,1.481,7.86,102.6,13.07
6/2/2017,18:30,28.78,1.704,0.85,1.481,7.76,100.9,12.98
6/2/2017,18:45,28.59,1.705,0.85,1.479,7.63,99,12.85
6/2/2017,19:00,28.45,1.705,0.86,1.476,7.65,98.9,12.68
6/2/2017,19:15,28.28,1.705,0.86,1.475,7.59,98,12.48
6/2/2017,19:30,28.11,1.706,0.86,1.473,7.5,96.5,12.35
6/2/2017,19:45,27.91,1.706,0.86,1.466,7.44,95.4,12.36
6/2/2017,20:00,27.66,1.706,0.86,1.466,7.45,95,12.37
6/2/2017,20:15,27.46,1.706,0.86,1.465,7.4,94,12.37
6/2/2017,20:30,27.38,1.705,0.86,1.462,7.47,94.8,12.38
6/2/2017,20:45,27.33,1.705,0.86,1.459,7.42,94.2,12.37
6/2/2017,21:00,27.21,1.706,0.86,1.458,7.41,93.8,12.38
6/2/2017,21:15,27.15,1.706,0.86,1.458,7.49,94.7,12.36
6/2/2017,21:30,27.07,1.707,0.86,1.456,7.42,93.7,12.37
6/2/2017,21:45,26.8,1.708,0.86,1.456,7.36,92.5,12.36
6/2/2017,22:00,26.57,1.707,0.86,1.454,7.35,91.9,12.36
6/2/2017,22:15,26.32,1.708,0.86,1.452,7.35,91.5,12.36
6/2/2017,22:30,26.02,1.707,0.86,1.449,7.28,90.1,12.36
6/2/2017,22:45,25.92,1.707,0.86,1.447,7.2,89.1,12.36
6/2/2017,23:00,25.86,1.707,0.86,1.444,7.12,87.9,12.35
6/2/2017,23:15,25.76,1.708,0.86,1.444,7.1,87.5,12.35
6/2/2017,23:30,25.6,1.708,0.86,1.444,7,86.1,12.35
6/2/2017,23:45,25.42,1.708,0.86,1.441,6.96,85.3,12.35
6/3/2017,0:00,25.24,1.708,0.86,1.44,6.9,84.3,12.34
6/3/2017,0:15,25.13,1.708,0.86,1.439,6.78,82.6,12.34
6/3/2017,0:30,25.03,1.708,0.86,1.436,6.66,81,12.35
6/3/2017,0:45,24.91,1.708,0.86,1.435,6.54,79.4,12.34
6/3/2017,1:00,24.83,1.708,0.86,1.436,6.46,78.3,12.32
6/3/2017,1:15,24.65,1.708,0.86,1.434,6.52,78.7,12.34
6/3/2017,1:30,24.57,1.707,0.86,1.433,6.48,78.2,12.32
6/3/2017,1:45,24.53,1.708,0.86,1.432,6.37,76.8,12.32
6/3/2017,2:00,24.33,1.707,0.86,1.431,6.33,76.1,12.31
6/3/2017,2:15,24.21,1.708,0.86,1.43,6.31,75.6,12.31
6/3/2017,2:30,24.09,1.707,0.86,1.43,6.33,75.7,12.31
6/3/2017,2:45,23.93,1.707,0.86,1.428,6.32,75.4,12.31
6/3/2017,3:00,23.77,1.707,0.86,1.426,6.24,74.1,12.3
6/3/2017,3:15,23.68,1.707,0.86,1.422,6.19,73.4,12.3
6/3/2017,3:30,23.56,1.707,0.86,1.418,6.13,72.6,12.3
6/3/2017,3:45,23.38,1.706,0.86,1.417,6.06,71.5,12.29
6/3/2017,4:00,23.33,1.706,0.86,1.418,6.12,72.1,12.28
6/3/2017,4:15,23.23,1.706,0.86,1.418,6.01,70.7,12.28
6/3/2017,4:30,23.09,1.706,0.86,1.416,6.04,70.9,12.24
6/3/2017,4:45,23,1.706,0.86,1.415,6.07,71.2,12.23
6/3/2017,5:00,22.88,1.706,0.86,1.414,5.99,70.1,12.34
6/3/2017,5:15,22.77,1.705,0.86,1.413,6.08,70.9,12.42
6/3/2017,5:30,22.7,1.705,0.86,1.411,6.08,70.9,12.77
6/3/2017,5:45,22.68,1.705,0.86,1.411,6.05,70.5,12.83
6/3/2017,6:00,22.66,1.705,0.86,1.409,6.05,70.4,13.14
6/3/2017,6:15,22.65,1.705,0.86,1.409,6,69.9,14.06
6/3/2017,6:30,22.65,1.705,0.86,1.41,5.94,69.1,14.05
6/3/2017,6:45,22.66,1.705,0.86,1.409,6.1,71,14.02
6/3/2017,7:00,22.68,1.705,0.86,1.408,6.23,72.6,14.02
6/3/2017,7:15,22.75,1.705,0.86,1.408,6.36,74.2,13.99
6/3/2017,7:30,22.88,1.705,0.86,1.407,6.54,76.4,13.98
6/3/2017,7:45,23,1.705,0.86,1.409,6.52,76.4,13.98
6/3/2017,8:00,23.09,1.706,0.86,1.409,6.59,77.3,13.96
6/3/2017,8:15,23.18,1.706,0.86,1.412,6.51,76.6,13.94
6/3/2017,8:30,23.28,1.706,0.86,1.409,6.43,75.7,13.93
6/3/2017,8:45,23.38,1.706,0.86,1.411,6.51,76.9,13.92
6/3/2017,9:00,23.54,1.706,0.86,1.408,6.74,79.7,13.91
6/3/2017,9:15,23.7,1.706,0.86,1.409,6.77,80.4,13.9
6/3/2017,9:30,23.82,1.707,0.86,1.409,6.85,81.5,13.88
6/3/2017,9:45,24.02,1.707,0.86,1.414,6.93,82.8,13.87
6/3/2017,10:00,24.2,1.706,0.86,1.415,7.09,85,13.87
6/3/2017,10:15,24.4,1.706,0.86,1.414,6.98,83.9,13.87
6/3/2017,10:30,24.57,1.707,0.86,1.416,7.06,85.2,13.87
6/3/2017,10:45,24.71,1.707,0.86,1.417,7.25,87.7,13.86
6/3/2017,11:00,24.91,1.707,0.86,1.42,7.23,87.8,13.86
6/3/2017,11:15,24.78,1.709,0.86,1.421,7.12,86.2,13.86
6/3/2017,11:30,24.86,1.709,0.86,1.422,7.23,87.7,13.86
6/3/2017,11:45,24.97,1.709,0.86,1.419,7.26,88.3,13.85
6/3/2017,12:00,25.41,1.712,0.86,1.43,7.41,90.8,13.85
6/3/2017,12:15,25.58,1.713,0.86,1.43,7.53,92.5,13.88
6/3/2017,12:30,25.59,1.712,0.86,1.429,7.58,93.2,13.91
6/3/2017,12:45,25.72,1.713,0.86,1.431,7.62,93.9,13.92
6/3/2017,13:00,25.9,1.714,0.86,1.431,7.67,94.8,13.91
6/3/2017,13:15,26.09,1.717,0.86,1.432,7.76,96.2,13.91
6/3/2017,13:30,26.28,1.718,0.87,1.436,7.72,96.1,13.91
6/3/2017,13:45,26.41,1.719,0.87,1.435,7.87,98.2,13.91
6/3/2017,14:00,26.57,1.72,0.87,1.436,7.77,97.3,13.91
6/3/2017,14:15,26.7,1.721,0.87,1.437,7.93,99.5,13.91
6/3/2017,14:30,26.87,1.722,0.87,1.438,8.09,101.8,13.92
6/3/2017,14:45,27,1.722,0.87,1.438,8.05,101.5,13.92
6/3/2017,15:00,27.11,1.722,0.87,1.439,8.12,102.6,13.92
6/3/2017,15:15,27.21,1.723,0.87,1.44,8.28,104.8,13.92
6/3/2017,15:30,27.3,1.723,0.87,1.44,8.32,105.5,13.92
6/3/2017,15:45,27.34,1.723,0.87,1.439,8.2,104,13.92
6/3/2017,16:00,27.39,1.724,0.87,1.439,8.1,102.9,13.91
6/3/2017,16:15,27.48,1.725,0.87,1.442,8.25,104.9,13.44
6/3/2017,16:30,27.49,1.725,0.87,1.441,8.12,103.3,13.44
6/3/2017,16:45,27.47,1.726,0.87,1.442,8.21,104.4,13.39
6/3/2017,17:00,27.46,1.726,0.87,1.441,8.19,104.1,13.37
6/3/2017,17:15,27.44,1.727,0.87,1.441,8.24,104.7,13.33
6/3/2017,17:30,27.43,1.728,0.87,1.441,8.21,104.4,13.32
6/3/2017,17:45,27.42,1.728,0.87,1.44,8.22,104.4,13.3
6/3/2017,18:00,27.37,1.729,0.87,1.44,8.16,103.6,13.2
6/3/2017,18:15,27.3,1.729,0.87,1.44,8.12,103,12.65
6/3/2017,18:30,27.23,1.73,0.87,1.44,8.24,104.3,12.56
6/3/2017,18:45,27.17,1.73,0.87,1.44,8.1,102.4,12.47
6/3/2017,19:00,27.15,1.731,0.87,1.438,7.91,100,12.4
6/3/2017,19:15,27.13,1.732,0.87,1.439,7.91,100,12.36
6/3/2017,19:30,27.07,1.732,0.87,1.438,8.06,101.8,12.37
6/3/2017,19:45,27.09,1.733,0.87,1.437,8.08,102,12.38
6/3/2017,20:00,27.06,1.733,0.87,1.436,8.11,102.4,12.38
6/3/2017,20:15,27.06,1.734,0.87,1.436,8,100.9,12.37
6/3/2017,20:30,27.01,1.734,0.87,1.436,7.97,100.6,12.35
6/3/2017,20:45,26.93,1.735,0.87,1.435,8.05,101.4,12.37
6/3/2017,21:00,26.81,1.735,0.87,1.434,8.15,102.4,12.36
6/3/2017,21:15,26.7,1.735,0.87,1.433,8,100.3,12.36
6/3/2017,21:30,26.53,1.735,0.87,1.434,8.1,101.3,12.36
6/3/2017,21:45,26.36,1.735,0.87,1.431,8.07,100.6,12.35
6/3/2017,22:00,26.19,1.735,0.87,1.429,7.89,98.1,12.35
6/3/2017,22:15,26.05,1.734,0.87,1.427,7.65,94.8,12.35
6/3/2017,22:30,25.97,1.734,0.87,1.426,7.59,93.9,12.35
6/3/2017,22:45,25.87,1.734,0.87,1.425,7.47,92.3,12.35
6/3/2017,23:00,25.77,1.733,0.87,1.422,7.44,91.7,12.34
6/3/2017,23:15,25.67,1.733,0.87,1.422,7.39,91,12.34
6/3/2017,23:30,25.59,1.732,0.87,1.421,7.32,90,12.34
6/3/2017,23:45,25.51,1.731,0.87,1.419,7.32,89.9,12.34
6/4/2017,0:00,25.44,1.732,0.87,1.418,7.29,89.4,12.32
6/4/2017,0:15,25.3,1.731,0.87,1.417,7.2,88,12.31
6/4/2017,0:30,25.27,1.731,0.87,1.417,7.27,88.8,12.31
6/4/2017,0:45,25.13,1.731,0.87,1.416,7.15,87.1,12.31
6/4/2017,1:00,25.06,1.73,0.87,1.415,7.14,86.9,12.31
6/4/2017,1:15,24.98,1.73,0.87,1.414,7.06,85.9,12.3
6/4/2017,1:30,24.89,1.73,0.87,1.412,7.08,85.9,12.3
6/4/2017,1:45,24.82,1.729,0.87,1.413,6.98,84.6,12.29
6/4/2017,2:00,24.71,1.729,0.87,1.411,6.89,83.3,12.29
6/4/2017,2:15,24.61,1.729,0.87,1.41,6.83,82.5,12.28
6/4/2017,2:30,24.54,1.729,0.87,1.41,6.67,80.4,12.28
6/4/2017,2:45,24.44,1.728,0.87,1.408,6.71,80.7,12.28
6/4/2017,3:00,24.32,1.728,0.87,1.408,6.64,79.7,12.28
6/4/2017,3:15,24.22,1.728,0.87,1.407,6.56,78.6,12.26
6/4/2017,3:30,24.12,1.727,0.87,1.405,6.45,77.1,12.26
6/4/2017,3:45,24.03,1.727,0.87,1.403,6.4,76.5,12.26
6/4/2017,4:00,23.93,1.727,0.87,1.402,6.31,75.2,12.25
6/4/2017,4:15,23.83,1.727,0.87,1.402,6.26,74.5,12.25
6/4/2017,4:30,23.72,1.726,0.87,1.401,6.12,72.7,12.24
6/4/2017,4:45,23.63,1.726,0.87,1.399,6.12,72.5,12.25
6/4/2017,5:00,23.53,1.726,0.87,1.398,6.04,71.5,12.31
6/4/2017,5:15,23.49,1.725,0.87,1.397,5.9,69.7,12.42
6/4/2017,5:30,23.43,1.725,0.87,1.396,5.93,70.1,12.66
6/4/2017,5:45,23.37,1.725,0.87,1.396,5.99,70.7,13.13
6/4/2017,6:00,23.34,1.725,0.87,1.396,5.98,70.5,13.22
6/4/2017,6:15,23.32,1.724,0.87,1.395,5.97,70.4,14.06
6/4/2017,6:30,23.3,1.725,0.87,1.395,5.97,70.3,13.32
6/4/2017,6:45,23.3,1.724,0.87,1.394,5.95,70.1,14.04
6/4/2017,7:00,23.32,1.724,0.87,1.393,5.96,70.3,14.02
6/4/2017,7:15,23.38,1.724,0.87,1.392,5.92,69.9,14
6/4/2017,7:30,23.45,1.724,0.87,1.395,6,70.8,13.99
6/4/2017,7:45,23.5,1.724,0.87,1.393,6.04,71.4,13.98
6/4/2017,8:00,23.55,1.724,0.87,1.395,6.16,72.9,13.97
6/4/2017,8:15,23.65,1.724,0.87,1.395,6.18,73.3,13.94
6/4/2017,8:30,23.79,1.724,0.87,1.395,6.2,73.7,13.93
6/4/2017,8:45,23.91,1.723,0.87,1.396,6.37,75.9,13.92
6/4/2017,9:00,24.06,1.724,0.87,1.397,6.43,76.8,13.91
6/4/2017,9:15,24.23,1.724,0.87,1.398,6.42,76.9,13.91
6/4/2017,9:30,24.38,1.724,0.87,1.402,6.51,78.2,13.9
6/4/2017,9:45,24.58,1.724,0.87,1.404,6.57,79.3,13.88
6/4/2017,10:00,24.82,1.724,0.87,1.412,6.77,82.1,13.88
6/4/2017,10:15,25.07,1.724,0.87,1.413,6.88,83.8,13.9
6/4/2017,10:30,25.27,1.724,0.87,1.417,7.08,86.5,13.91
6/4/2017,10:45,25.49,1.722,0.87,1.416,7.12,87.4,13.9
6/4/2017,11:00,25.72,1.722,0.87,1.422,7.22,88.9,13.91
6/4/2017,11:15,25.96,1.72,0.87,1.42,7.33,90.7,13.92
6/4/2017,11:30,26.16,1.72,0.87,1.423,7.41,92.1,13.92
6/4/2017,11:45,26.46,1.716,0.86,1.422,7.42,92.7,13.93
6/4/2017,12:00,26.7,1.711,0.86,1.424,7.46,93.6,13.94
6/4/2017,12:15,26.93,1.701,0.86,1.429,7.57,95.3,13.92
6/4/2017,12:30,27.13,1.705,0.86,1.429,7.71,97.5,13.92
6/4/2017,12:45,27.39,1.699,0.85,1.433,7.66,97.3,13.92
6/4/2017,13:00,27.61,1.697,0.85,1.434,7.83,99.8,13.92
6/4/2017,13:15,27.82,1.694,0.85,1.438,7.99,102.2,13.91
6/4/2017,13:30,28.06,1.693,0.85,1.441,8.23,105.8,13.91
6/4/2017,13:45,28.31,1.694,0.85,1.441,8.45,109,13.91
6/4/2017,14:00,28.53,1.695,0.85,1.442,8.58,111.2,13.9
6/4/2017,14:15,28.71,1.696,0.85,1.445,8.74,113.6,13.9
6/4/2017,14:30,28.89,1.696,0.85,1.444,8.79,114.5,13.9
6/4/2017,14:45,29.09,1.697,0.85,1.446,8.79,115,13.9
6/4/2017,15:00,29.17,1.698,0.85,1.448,8.51,111.5,13.88
