,,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System
5/1/2017,2:30,25.88,2.057,1.05,1.669,5.46,67.5,74.4,29.97,66,186,8,1.9,15.3,0,0,12.18
5/1/2017,2:45,25.82,2.057,1.05,1.669,5.52,68.2,73.9,29.97,66.4,175,8.7,3.1,15.8,0,0,12.18
5/1/2017,3:00,25.73,2.057,1.05,1.667,5.64,69.6,73.4,29.98,67.4,187,8.2,3,16.2,0,0,12.17
5/1/2017,3:15,25.62,2.057,1.05,1.667,5.63,69.3,73,29.97,69.1,183,8,1.2,17,0,0,12.17
5/1/2017,3:30,25.47,2.057,1.05,1.667,5.52,67.7,72.5,29.97,69.9,189,7.2,1.8,13.9,0,0,12.16
5/1/2017,3:45,25.32,2.056,1.05,1.662,5.46,66.8,72.1,29.96,71.2,190,6.9,1.9,17.2,0,0,12.16
5/1/2017,4:00,25.22,2.056,1.05,1.67,5.37,65.6,71.7,29.96,73.4,180,7.5,2.6,15.7,0,0,12.16
5/1/2017,4:15,25.09,2.056,1.05,1.669,5.37,65.4,71.2,29.96,73.9,183,9.2,3.7,16.1,0,0,12.16
5/1/2017,4:30,24.93,2.055,1.05,1.67,5.27,64.1,70.8,29.96,75.1,181,8.3,1.9,15.7,0,0,12.16
5/1/2017,4:45,24.84,2.055,1.05,1.671,5.47,66.4,70.5,29.96,76.6,182,9.6,4.8,15.9,0,0,12.16
5/1/2017,5:00,24.67,2.054,1.05,1.67,5.36,64.9,70.3,29.96,77.2,177,10.8,4.6,19.5,0,0,12.16
5/1/2017,5:15,24.52,2.054,1.05,1.666,5.37,64.8,70.7,29.97,77.2,189,10.9,4.2,22.8,0,0,12.14
5/1/2017,5:30,24.38,2.053,1.05,1.664,5.33,64.2,71,29.97,76,197,10.4,1.9,18.9,0,0,12.16
5/1/2017,5:45,24.31,2.053,1.05,1.667,5.41,65,71.2,29.98,76.4,192,9.3,2.9,20.7,0,0,12.18
5/1/2017,6:00,24.26,2.053,1.05,1.665,5.32,63.9,71.4,29.98,74.9,190,8.5,2.5,18.2,0,0,12.18
5/1/2017,6:15,24.21,2.053,1.05,1.668,5.4,64.8,71.6,29.98,74.3,186,8.1,1.2,18.4,0,0,12.26
5/1/2017,6:30,24.14,2.053,1.05,1.663,5.43,65,71.6,29.98,73.7,191,8.7,1.8,17.1,0,0,12.28
5/1/2017,6:45,24.06,2.053,1.05,1.669,5.54,66.2,71.7,29.99,73.7,183,8.9,1.8,17.8,0,0,12.3
5/1/2017,7:00,23.96,2.053,1.05,1.668,5.63,67.2,72.1,29.98,71.9,182,9.9,2.9,19.8,0,0,12.38
5/1/2017,7:15,23.92,2.052,1.05,1.67,5.72,68.2,72.6,29.98,70,174,9.9,1.6,22,0,0,12.66
5/1/2017,7:30,24,2.052,1.05,1.67,5.88,70.2,73.4,29.98,68.9,181,11.3,1.7,21.6,0,0,12.9
5/1/2017,7:45,24.11,2.053,1.05,1.666,5.81,69.5,73.7,29.98,68.2,185,11.7,4.9,23.3,0,0,13.04
5/1/2017,8:00,24.22,2.053,1.05,1.661,6.17,74,74.1,29.97,67.7,179,11.6,2.8,24.3,0,0,13.48
5/1/2017,8:15,24.37,2.054,1.05,1.664,6.31,75.9,74.3,29.96,67.7,170,12.5,3.8,22.4,0,0,13.96
5/1/2017,8:30,24.49,2.054,1.05,1.671,6.3,76,74.4,29.96,67.3,178,11.3,3.8,24.9,0,0,13.96
5/1/2017,8:45,24.59,2.054,1.05,1.678,6.43,77.7,74.8,29.95,66.7,169,13.3,5.4,25.5,0,0,13.99
5/1/2017,9:00,24.72,2.055,1.05,1.672,6.51,78.9,75.5,29.95,65.2,178,11.7,3.5,24.6,0,0,13.92
5/1/2017,9:15,24.87,2.055,1.05,1.663,6.79,82.5,76.1,29.95,65.1,180,12.4,5.3,26.1,0,0,13.92
5/1/2017,9:30,25.06,2.056,1.05,1.659,7,85.2,76.4,29.95,63.4,184,11.3,1.2,24.4,0.001,0,13.91
5/1/2017,9:45,25.23,2.057,1.05,1.674,7.23,88.4,76.6,29.95,62,181,9.5,3.5,21.3,0.017,0,13.9
5/1/2017,10:00,25.4,2.058,1.05,1.663,7.29,89.4,77,29.94,62.3,187,11.5,3.6,27.4,0.029,0,13.9
5/1/2017,10:15,25.51,2.058,1.05,1.666,7.49,92.1,77.3,29.94,61.1,181,12.6,2.1,25,0,0,13.9
5/1/2017,10:30,25.61,2.058,1.05,1.669,7.51,92.4,77,29.93,61.9,182,12.1,2.4,25.3,0,0,13.9
5/1/2017,10:45,25.72,2.058,1.05,1.665,7.47,92.1,77.1,29.92,63.7,177,11.5,3.8,24.9,0,0,13.9
5/1/2017,11:00,25.8,2.058,1.05,1.661,7.62,94.1,78.4,29.91,59.8,179,12.3,4.2,29.6,0,0,13.9
5/1/2017,11:15,26.06,2.058,1.05,1.666,7.74,96,79.1,29.91,57.8,177,13.4,2.3,25,0,0,13.88
5/1/2017,11:30,26.33,2.058,1.05,1.665,7.89,98.4,79.1,29.9,59.6,176,14.4,4.6,26.7,0,0,13.88
5/1/2017,11:45,26.58,2.058,1.05,1.665,8.05,100.9,79.5,29.9,58.8,179,13.8,2.2,25.9,0,0,13.87
5/1/2017,12:00,26.68,2.057,1.04,1.668,8.1,101.7,79.3,29.89,59.2,174,11.8,5.1,23.4,0,0,13.87
5/1/2017,12:15,26.79,2.056,1.04,1.666,8.18,102.8,79.7,29.89,59.2,172,12,4.5,22.9,0,0,13.87
5/1/2017,12:30,26.84,2.057,1.04,1.668,8.2,103.2,80,29.86,57.3,167,13.1,6.3,24.1,0,0,13.86
5/1/2017,12:45,26.95,2.058,1.04,1.666,8.46,106.7,80.7,29.86,54.6,168,14.8,3.4,26.6,0,0,13.86
5/1/2017,13:00,27.13,2.059,1.04,1.663,8.56,108.3,80.6,29.85,56.3,172,14.5,5.8,25.5,0,0,13.86
5/1/2017,13:15,27.28,2.061,1.05,1.671,8.61,109.2,80.9,29.85,56.1,163,15.5,5.2,27.8,0,0,13.86
5/1/2017,13:30,27.44,2.061,1.05,1.657,8.64,109.9,80.7,29.83,55.9,172,15.9,7.7,27.2,0,0,13.86
5/1/2017,13:45,27.64,2.062,1.05,1.647,8.74,111.5,82,29.83,52.6,176,13,4.5,25,0,0,13.84
5/1/2017,14:00,27.86,2.064,1.05,1.673,8.72,111.8,73.5,29.82,69.3,144,16.3,6.7,26.4,0,0,13.82
5/1/2017,14:15,28.1,2.065,1.05,1.676,8.7,112,75.7,29.8,67.2,138,16.4,10.2,25.8,0,0,13.85
5/1/2017,14:30,28.22,2.065,1.05,1.668,8.77,113.2,77,29.79,64.8,139,16.1,11.5,20.7,0,0,13.86
5/1/2017,14:45,28.37,2.066,1.05,1.667,8.79,113.7,76.4,29.79,64.5,141,14.9,10.3,18.4,0,0,13.87
5/1/2017,15:00,28.47,2.066,1.05,1.664,8.73,113.1,76.4,29.78,65.4,149,13.1,8.7,19.2,0,0,13.68
5/1/2017,15:15,28.47,2.067,1.05,1.66,8.72,112.9,76.6,29.77,63,154,12.5,8.5,18,0,0,13.84
5/1/2017,15:30,28.47,2.067,1.05,1.667,8.8,114,75.2,29.77,68.6,151,13.3,8.6,17.9,0,0,13.8
5/1/2017,15:45,28.45,2.067,1.05,1.661,8.8,113.9,76.2,29.76,65.1,146,12.5,8.6,16.4,0,0,13.88
5/1/2017,16:00,28.46,2.067,1.05,1.661,8.82,114.2,75.5,29.74,64.2,143,13.9,10.2,20,0,0,13.79
5/1/2017,16:15,28.36,2.068,1.05,1.658,8.81,113.9,76.1,29.73,66.1,146,14.3,10.1,20.3,0,0,13.7
5/1/2017,16:30,28.21,2.067,1.05,1.662,8.86,114.2,75.7,29.72,63.9,148,14.6,11,20,0,0,13.75
5/1/2017,16:45,28.21,2.066,1.05,1.661,8.77,113.1,76.6,29.72,62.5,152,13.4,9.5,19.1,0,0,13.73
5/1/2017,17:00,28.2,2.066,1.05,1.667,8.68,111.9,75,29.71,65.8,151,14.4,9.9,21.2,0,0,13.58
5/1/2017,17:15,28.1,2.067,1.05,1.658,8.65,111.3,75.3,29.71,63.6,159,11.9,8.3,16.3,0,0,13.55
5/1/2017,17:30,27.93,2.066,1.05,1.652,8.53,109.4,75.3,29.72,65.2,158,10.6,7.3,13.8,0,0,13.48
5/1/2017,17:45,27.8,2.066,1.05,1.65,8.52,109.1,73.9,29.71,69.1,147,10.3,8,13.3,0,0,13.24
5/1/2017,18:00,27.73,2.066,1.05,1.658,8.42,107.6,72.8,29.7,71.5,149,13.3,9.1,18.6,0,0,13.06
5/1/2017,18:15,27.62,2.065,1.05,1.651,8.29,105.8,73.2,29.7,69.1,148,9.7,6.6,12.7,0,0,12.8
5/1/2017,18:30,27.48,2.066,1.05,1.646,8.14,103.6,72.3,29.71,71.2,149,10.1,6.6,13.2,0,0,12.48
5/1/2017,18:45,27.37,2.065,1.05,1.646,8.1,102.9,72.8,29.71,71.5,153,8.3,5.9,12.2,0,0,12.31
5/1/2017,19:00,27.25,2.065,1.05,1.649,8.06,102.2,72.1,29.7,73.6,145,8.6,6.3,11.3,0,0,12.31
5/1/2017,19:15,27.07,2.065,1.05,1.653,7.94,100.3,71.2,29.7,74.7,148,11,9.1,13.4,0,0,12.34
5/1/2017,19:30,26.87,2.064,1.05,1.656,7.82,98.5,71,29.7,76.6,149,12,9.5,14.8,0,0,12.32
5/1/2017,19:45,26.63,2.064,1.05,1.654,7.81,97.9,71.9,29.69,71.8,147,10.6,7.8,14.5,0,0,12.31
5/1/2017,20:00,26.39,2.063,1.05,1.652,7.67,95.7,78.8,29.7,54.3,167,12.7,7.6,20.9,0,0,12.31
5/1/2017,20:15,26.24,2.062,1.05,1.652,7.54,93.9,79.5,29.7,51.9,167,13.5,7.3,21.3,0,0,12.31
5/1/2017,20:30,26.18,2.062,1.05,1.652,7.56,94.1,75.5,29.68,60.1,152,12.7,9,18,0,0,12.31
5/1/2017,20:45,26.09,2.063,1.05,1.656,7.48,92.9,72.5,29.68,69.7,145,14.9,12.1,18.5,0,0,12.31
5/1/2017,21:00,25.87,2.062,1.05,1.66,7.37,91.1,71,29.68,76.5,152,16.1,11.6,22,0,0,12.3
5/1/2017,21:15,25.6,2.061,1.05,1.657,7.36,90.5,70.7,29.69,77.8,149,15.3,11.4,19.3,0,0,12.3
5/1/2017,21:30,25.45,2.061,1.05,1.656,7.28,89.4,69.9,29.69,78.7,150,13.2,9.6,16.3,0,0,12.28
5/1/2017,21:45,25.3,2.061,1.05,1.65,7.18,87.8,73.4,29.69,69.4,154,8.9,5.2,13.5,0,0,12.28
5/1/2017,22:00,25.18,2.06,1.05,1.652,7.09,86.6,77.3,29.68,58.6,167,12,5,19.7,0.001,0,12.28
5/1/2017,22:15,25.11,2.061,1.05,1.652,7.02,85.7,75.7,29.66,62.4,162,13.1,7.9,20,0.003,0,12.28
5/1/2017,22:30,25.06,2.06,1.05,1.647,7.01,85.4,75.5,29.67,64.1,169,12,5.8,22.7,0.006,0,12.28
5/1/2017,22:45,25.03,2.06,1.05,1.65,6.77,82.5,76.2,29.66,63.1,169,13,6.3,27.5,0,0,12.26
5/1/2017,23:00,24.97,2.061,1.05,1.649,6.81,82.9,76.4,29.66,63,172,13.3,5.7,21.6,0,0,12.26
5/1/2017,23:15,24.87,2.061,1.05,1.654,6.77,82.2,75.9,29.65,64.2,172,12.9,6.5,23.5,0,0,12.26
5/1/2017,23:30,24.75,2.06,1.05,1.648,6.61,80,75.2,29.66,65.3,174,10.8,5.2,17.1,0.002,0,12.26
5/1/2017,23:45,24.66,2.06,1.05,1.639,6.68,80.8,75,29.67,66.3,175,12.4,5.7,21.9,0.001,0,12.26
5/2/2017,0:00,24.62,2.06,1.05,1.653,6.62,80,72.3,29.65,76.6,173,13.4,5.6,22.7,0.05,0,12.26
5/2/2017,0:15,24.53,2.06,1.05,1.654,6.62,79.9,71.2,29.65,80.8,172,11.2,4.4,21.4,0.048,0,12.24
5/2/2017,0:30,24.28,2.058,1.05,1.649,6.5,78.1,70.7,29.65,81.8,173,10.7,5.3,22.8,0,0,12.24
5/2/2017,0:45,24.14,2.059,1.05,1.647,6.5,77.9,70.5,29.65,83,170,11.5,4.8,21.9,0.007,0,12.24
5/2/2017,1:00,24.14,2.059,1.05,1.654,6.56,78.5,70.3,29.65,84.1,168,10.1,5.4,17.7,0.014,0,12.23
5/2/2017,1:15,24.1,2.059,1.05,1.647,6.39,76.5,70.3,29.65,84.3,174,7.7,4.8,14.7,0,0,12.23
5/2/2017,1:30,24,2.059,1.05,1.65,6.38,76.2,70.3,29.63,83,165,8.8,3.4,16.1,0,0,12.23
5/2/2017,1:45,23.96,2.06,1.05,1.652,6.3,75.2,70.3,29.63,80.7,173,7.6,1.3,15,0,0,12.22
5/2/2017,2:00,23.91,2.059,1.05,1.651,6.32,75.4,70.3,29.63,79.8,182,7.8,3.5,14.5,0,0,12.2
5/2/2017,2:15,23.85,2.059,1.05,1.648,6.21,73.9,70.5,29.63,81.3,178,8.4,3.4,15.7,0,0,12.2
5/2/2017,2:30,23.74,2.059,1.05,1.65,6.31,75.1,70.5,29.64,82.4,173,9.3,3.8,17.9,0,0,12.2
5/2/2017,2:45,23.63,2.059,1.05,1.651,6.23,74,70.3,29.64,82.8,170,9.1,3.6,16.7,0,0,12.2
5/2/2017,3:00,23.54,2.059,1.05,1.649,6.08,72.1,70.3,29.64,83,170,9.2,4.5,16.6,0,0,12.2
5/2/2017,3:15,23.46,2.058,1.05,1.651,6.08,71.9,70.3,29.63,82,175,9,2.2,17.1,0,0,12.2
5/2/2017,3:30,23.3,2.057,1.05,1.648,6.14,72.4,70.5,29.63,81.1,176,8.6,3.1,16,0,0,12.19
5/2/2017,3:45,23.17,2.057,1.05,1.648,6.13,72.2,70.3,29.63,79.4,176,7.2,1.4,13.5,0,0,12.19
5/2/2017,4:00,23.1,2.057,1.05,1.643,6.04,70.9,70.1,29.64,78.9,184,6.9,1.4,15.4,0,0,12.18
5/2/2017,4:15,23,2.057,1.05,1.649,5.93,69.5,69.9,29.64,78.2,191,7,1,17.8,0,0,12.18
5/2/2017,4:30,22.89,2.057,1.05,1.645,5.85,68.4,69.8,29.64,78.4,188,6.7,0.8,15.6,0,0,12.18
5/2/2017,4:45,22.79,2.056,1.05,1.646,6.02,70.3,69.4,29.65,77.8,195,6.3,1.6,12.6,0,0,12.18
5/2/2017,5:00,22.72,2.056,1.05,1.645,5.99,69.8,69,29.65,77.7,205,6.7,0.6,15.7,0,0,12.17
5/2/2017,5:15,22.66,2.056,1.05,1.642,5.91,68.8,68.7,29.65,78.1,200,7,0.9,13.6,0,0,12.18
5/2/2017,5:30,22.56,2.056,1.05,1.642,5.86,68.2,68.5,29.65,77.7,198,6.9,0.8,15.4,0,0,12.18
5/2/2017,5:45,22.45,2.056,1.05,1.646,5.99,69.5,68.5,29.65,77.1,207,7.2,0.8,16.6,0,0,12.19
5/2/2017,6:00,22.36,2.055,1.05,1.643,5.98,69.3,68.7,29.66,76.3,204,5.9,0.4,13.1,0,0,12.25
5/2/2017,6:15,22.29,2.055,1.05,1.642,6.06,70.1,68.7,29.67,74.1,204,7,1.2,20.5,0,0,12.35
5/2/2017,6:30,22.23,2.055,1.05,1.642,6.11,70.6,68.9,29.67,73,200,7.9,1.2,18,0,0,12.54
5/2/2017,6:45,22.21,2.055,1.05,1.643,6.2,71.6,69,29.67,72.2,200,6.8,0.6,15.6,0,0,12.74
5/2/2017,7:00,22.2,2.055,1.05,1.643,6.33,73.1,69.2,29.66,69.5,208,7.4,1.3,21.6,0,0,12.85
5/2/2017,7:15,22.22,2.055,1.05,1.643,6.47,74.7,69.4,29.68,67.5,209,7.9,0.9,19.8,0,0,12.96
5/2/2017,7:30,22.25,2.054,1.05,1.643,6.63,76.6,69.8,29.68,65.8,203,8.1,1.5,18.7,0,0,13.16
5/2/2017,7:45,22.31,2.055,1.05,1.645,6.67,77.2,69.9,29.69,64.6,200,7.8,0.8,16.6,0,0,14
5/2/2017,8:00,22.43,2.055,1.05,1.646,6.76,78.4,70.3,29.69,61,223,6.7,0.6,16.9,0,0,14.02
5/2/2017,8:15,22.58,2.056,1.05,1.64,6.95,80.9,70.7,29.69,57.6,212,7.1,0.6,16.7,0,0,13.99
5/2/2017,8:30,22.73,2.056,1.05,1.641,7.06,82.4,71.4,29.69,59.2,239,5.1,0.5,15.9,0,0,13.99
5/2/2017,8:45,22.91,2.057,1.05,1.641,7.05,82.6,71.6,29.69,53.8,216,7.7,1.3,20.2,0,0,13.98
5/2/2017,9:00,23.16,2.058,1.05,1.645,7.25,85.3,71.9,29.7,52,229,6.3,0.7,19.2,0,0,13.97
5/2/2017,9:15,23.37,2.058,1.05,1.643,7.38,87.2,71.9,29.69,50.5,212,8.4,0.6,21.4,0,0,13.96
5/2/2017,9:30,23.63,2.059,1.05,1.649,7.64,90.6,71.7,29.69,51.5,222,8.9,1,27.3,0,0,13.96
5/2/2017,9:45,23.81,2.06,1.05,1.646,7.68,91.4,71.6,29.7,51.6,218,6.3,0.8,18.1,0,0,13.94
5/2/2017,10:00,23.97,2.06,1.05,1.637,7.78,92.9,71.7,29.7,52.8,216,7.4,2.2,15.8,0,0,13.96
5/2/2017,10:15,24.13,2.061,1.05,1.643,7.94,95.2,71.7,29.7,49.5,217,9.2,0.9,21.6,0,0,13.96
5/2/2017,10:30,24.31,2.062,1.05,1.632,8.06,96.9,71.7,29.71,43.8,223,8.4,1.1,20.9,0,0,13.96
5/2/2017,10:45,24.52,2.063,1.05,1.638,8.27,99.8,72.3,29.71,40.3,223,7.2,0.7,18.6,0,0,13.96
5/2/2017,11:00,24.74,2.064,1.05,1.62,8.37,101.4,71.9,29.72,35.9,272,8.9,0.9,26.3,0,0,13.96
5/2/2017,11:15,24.97,2.065,1.05,1.627,8.64,105.1,71.9,29.72,36.1,252,8.9,1.7,21.3,0,0,13.98
5/2/2017,11:30,25.13,2.065,1.05,1.62,8.73,106.5,71.9,29.71,34.5,228,8.4,0.7,26,0,0,13.98
5/2/2017,11:45,25.31,2.066,1.05,1.628,8.76,107.3,72.8,29.71,34,237,7.4,1.1,19.1,0,0,13.99
5/2/2017,12:00,25.5,2.067,1.05,1.63,8.83,108.5,72.8,29.71,32.6,252,7.8,0.9,19.2,0,0,13.99
5/2/2017,12:15,25.69,2.068,1.05,1.626,8.94,110.3,73.2,29.72,33,254,7.9,0.7,24.6,0,0,13.99
5/2/2017,12:30,25.87,2.069,1.05,1.617,9.1,112.5,73.5,29.71,31.1,214,8.9,0.7,20.5,0,0,13.99
5/2/2017,12:45,26.06,2.069,1.05,1.621,9.21,114.3,73.5,29.71,33.4,221,8.2,0.8,21.5,0,0,13.98
5/2/2017,13:00,26.24,2.07,1.05,1.631,9.44,117.6,73.7,29.71,34.9,207,9.8,0.8,30.8,0,0,13.99
5/2/2017,13:15,26.42,2.071,1.05,1.639,9.45,118,73.7,29.72,30.7,214,10.3,1.6,27.5,0,0,13.98
5/2/2017,13:30,26.57,2.072,1.05,1.631,9.58,120,74.8,29.71,28.7,242,7,0.7,20.1,0,0,13.98
5/2/2017,13:45,26.71,2.072,1.05,1.633,9.56,120,75,29.71,28.5,251,6.4,0.8,16.2,0,0,13.96
5/2/2017,14:00,26.85,2.073,1.05,1.633,9.68,121.8,74.8,29.72,33.1,233,7.4,0.8,18,0,0,13.94
5/2/2017,14:15,27,2.074,1.05,1.625,9.8,123.7,74.4,29.71,33.1,222,8.2,1.3,20.5,0,0,13.93
5/2/2017,14:30,27.11,2.074,1.05,1.626,9.81,124.1,74.6,29.71,31.8,218,8.2,1,24.9,0,0,13.93
5/2/2017,14:45,27.2,2.075,1.05,1.629,9.79,124,74.4,29.71,30.6,212,9.7,1.6,21.7,0,0,13.92
5/2/2017,15:00,27.3,2.076,1.05,1.623,9.87,125.2,74.8,29.71,27.5,213,9.3,0.6,20.9,0,0,13.78
5/2/2017,15:15,27.34,2.076,1.05,1.622,9.86,125.2,74.8,29.71,28.6,209,9.1,1.7,19.1,0,0,13.91
5/2/2017,15:30,27.39,2.076,1.05,1.627,9.93,126.3,75,29.71,27.4,222,9.4,1,21.4,0,0,13.91
5/2/2017,15:45,27.43,2.076,1.05,1.629,9.95,126.5,75.2,29.71,28.1,209,9,1.2,21.3,0,0,13.92
5/2/2017,16:00,27.43,2.077,1.05,1.621,9.89,125.8,75.3,29.71,27.8,206,9.1,1.3,22.8,0,0,13.92
5/2/2017,16:15,27.39,2.077,1.05,1.628,9.76,124.1,75.3,29.71,28.7,210,9.8,1.9,23.8,0,0,13.9
5/2/2017,16:30,27.32,2.077,1.05,1.624,9.74,123.6,75.5,29.71,28.2,203,9.3,1.7,18.5,0,0,13.81
5/2/2017,16:45,27.24,2.077,1.05,1.623,9.65,122.4,75.5,29.71,28.8,203,8.3,1,26.6,0,0,13.63
5/2/2017,17:00,27.14,2.077,1.05,1.623,9.57,121.2,75.9,29.71,29.3,206,7.5,1.6,15.2,0,0,13.57
5/2/2017,17:15,27.03,2.076,1.05,1.628,9.48,119.8,75.9,29.71,27.9,201,7.5,0.6,17.8,0,0,13.46
5/2/2017,17:30,26.92,2.076,1.05,1.619,9.47,119.3,75.5,29.71,28.8,201,6.9,1.1,16.9,0,0,13.24
5/2/2017,17:45,26.8,2.076,1.05,1.623,9.43,118.6,75.2,29.72,30.1,197,6,0.9,14.8,0,0,12.71
5/2/2017,18:00,26.65,2.075,1.05,1.623,9.35,117.2,74.6,29.73,31.1,192,4.4,0.7,10.8,0,0,12.41
5/2/2017,18:15,26.53,2.075,1.05,1.622,9.04,113.2,73.9,29.73,34.3,194,3.5,0.4,7.7,0,0,12.3
5/2/2017,18:30,26.41,2.075,1.05,1.621,8.96,111.9,73.9,29.74,32.5,222,2.1,0.3,7.2,0,0,12.31
5/2/2017,18:45,26.3,2.075,1.05,1.622,9.06,112.9,73.9,29.75,32.1,309,4.1,1,10.1,0,0,12.31
5/2/2017,19:00,26.14,2.075,1.05,1.62,9.07,112.7,73.7,29.76,28.4,310,6.8,2.8,15.1,0,0,12.34
5/2/2017,19:15,25.94,2.074,1.05,1.619,9.02,111.8,73,29.77,30.7,307,4.6,0.4,9.3,0,0,12.28
5/2/2017,19:30,25.76,2.073,1.05,1.621,8.98,110.9,71.2,29.77,32.8,286,2.7,0.2,7.9,0,0,12.31
5/2/2017,19:45,25.65,2.073,1.05,1.621,8.8,108.4,69.9,29.78,38,275,1.7,0.2,3.9,0,0,12.24
5/2/2017,20:00,25.49,2.073,1.06,1.621,8.7,106.8,68.9,29.79,43.5,248,2.1,0.4,7.8,0,0,12.24
5/2/2017,20:15,25.32,2.072,1.05,1.621,8.66,106,68,29.8,43.8,247,1.6,0.3,3.3,0,0,12.24
5/2/2017,20:30,25.18,2.072,1.06,1.621,8.6,105,67.4,29.8,43.2,272,2.2,0.3,4.8,0,0,12.23
5/2/2017,20:45,25.07,2.072,1.05,1.621,8.5,103.6,66.7,29.81,46.8,246,1.9,0.5,3.6,0,0,12.23
5/2/2017,21:00,24.94,2.072,1.05,1.621,8.29,100.8,66.7,29.82,43.9,244,2.6,0.6,4.3,0,0,12.23
5/2/2017,21:15,24.82,2.071,1.06,1.62,7.92,96.1,66.3,29.82,47.2,239,2.7,0.8,4.4,0,0,12.19
5/2/2017,21:30,24.67,2.071,1.06,1.62,7.97,96.4,66.3,29.82,42.2,242,3.4,0.7,5.9,0,0,12.24
5/2/2017,21:45,24.53,2.071,1.06,1.621,7.83,94.5,66.3,29.83,41.7,237,3.6,1.2,5.5,0,0,12.24
5/2/2017,22:00,24.39,2.07,1.06,1.621,7.57,91.2,65.8,29.83,41.7,234,3.7,2.3,5.2,0,0,12.24
5/2/2017,22:15,24.24,2.07,1.06,1.62,7.8,93.6,65.8,29.83,42.8,234,4,2.3,5.3,0,0,12.23
5/2/2017,22:30,24.13,2.07,1.06,1.62,7.53,90.2,66.5,29.83,38.6,231,4.4,3.2,5.4,0,0,12.23
5/2/2017,22:45,24.04,2.069,1.06,1.62,7.57,90.5,67.2,29.83,39.4,235,4.3,2.6,5.9,0,0,12.2
5/2/2017,23:00,23.98,2.069,1.06,1.622,7.42,88.6,66.5,29.83,38.3,233,4.4,2.8,6.1,0,0,12.22
5/2/2017,23:15,23.88,2.069,1.06,1.621,7.62,90.8,65.4,29.83,45.1,253,3.3,0.2,5.4,0,0,12.2
5/2/2017,23:30,23.75,2.069,1.06,1.621,7.19,85.5,62.9,29.84,39.4,197,3.1,1,7.3,0,0,12.2
